,Names (EN),Description (EN),Bill Sponsor,Status,Adam Vaughan,Alain Giguere,Alex Atamanenko,Alexandre Boulerice,Alexandrine Latendresse,Alice Wong,Andre Bellavance,Andrew Cash,Andrew Saxton,Andrew Scheer,Anne Marie Day,Anne Minh Thu Quach,Annick Papillon,Arnold Chan,Bal Gosal,Barry Devolin,Ben Lobb,Bernard Trottier,Bernard Valcourt,Bev Oda,Bev Shipley,Blaine Calkins,Blake Richards,Bob Dechert,Bob Rae,Bob Zimmer,Brad Butt,Bradley Trost,Brent Rathgeber,Brian Jean,Brian Masse,Brian Storseth,Bruce Hyer,Bruce Stanton,Bryan Hayes,Candice Hoeppner,Carol Hughes,Carolyn Bennett,Cathy Mcleod,Charlie Angus,Charmaine Borg,Cheryl Gallant,Chris Alexander,Chris Charlton,Chris Warkentin,Christian Paradis,Christine Moore,Chrystia Freeland,Chungsen Leung,Claude Gravelle,Claude Patry,Colin Carrie,Colin Mayes,Corneliu Chisu,Costas Menegakis,Craig Scott,Dan Albas,Dan Harris,Dany Morin,Daryl Kramp,Dave Mackenzie,Dave Van Kesteren,David Anderson,David Christopherson,David Mcguinty,David Sweet,David Tilson,David Wilks,David Yurdiga,Dean Allison,Dean Del Mastro,Deepak Obhrai,Denis Blanchette,Denis Coderre,Denis Lebel,Denise Savoie,Dennis Bevington,Devinder Shory,Diane Ablonczy,Diane Finley,Dick Harris,Djaouida Sellah,Dominic Leblanc,Don Davies,Earl Dreeshen,Ed Fast,Ed Holder,Ed Komarnicki,Elaine Michaud,Elizabeth May,Emmanuel Dubourg,Erin Otoole,Eve Adams,Eve Peclet,Fin Donnelly,Francine Raynault,Francis Scarpaleggia,Francois Choquette,Francois Lapointe,Francois Pilon,Francoise Boivin,Frank Valeriote,Gail Shea,Garry Breitkreuz,Gary Goodyear,Gary Schellenberger,Geoff Regan,Gerald Keddy,Gerry Byrne,Gerry Ritz,Glenn Thibeault,Gord Brown,Gordon Oconnor,Greg Kerr,Greg Rickford,Guy Caron,Guy Lauzon,Harold Albrecht,Hedy Fry,Helene Laverdiere,Helene Leblanc,Hoang Mai,Irene Mathyssen,Irwin Cotler,Isabelle Morin,Jack Harris,Jacques Gourde,James Bezan,James Lunney,James Moore,James Rajotte,Jamie Nicholls,Jasbir Sandhu,Jason Kenney,Jay Aspin,Jean Crowder,Jean Francois Fortin,Jean Francois Larose,Jean Rousseau,Jeff Watson,Jim Eglinski,Jim Flaherty,Jim Hillyer,Jim Karygiannis,Jinny Sims,Joan Crockatt,Joe Comartin,Joe Daniel,Joe Oliver,Joe Preston,John Baird,John Barlow,John Carmichael,John Duncan,John Mccallum,John Mckay,John Rafferty,John Weston,John Williamson,Jonathan Genest Jourdain,Jonathan Tremblay,Jose Nunez Melo,Joy Smith,Joyce Bateman,Joyce Murray,Judy Foote,Judy Sgro,Julian Fantino,Justin Trudeau,Keith Ashfield,Kellie Leitch,Kelly Block,Kennedy Stewart,Kerry Lynne Findlay,Kevin Lamoureux,Kevin Sorenson,Kirsty Duncan,Kyle Seeback,Larry Maguire,Larry Miller,Laurie Hawn,Laurin Liu,Lavar Payne,Lawrence Macaulay,Lawrence Toet,Lee Richardson,Leon Benoit,Leona Aglukkaq,Libby Davies,Linda Duncan,Lisa Raitt,Lise St Denis,Lois Brown,Louis Plamondon,Lynne Yelich,Lysane Blanchette Lamothe,Malcolm Allen,Manon Perreault,Marc Andre Morin,Marc Garneau,Maria Mourani,Marie Claude Morin,Marjolaine Boutin Sweet,Mark Adler,Mark Eyking,Mark Strahl,Mark Warawa,Massimo Pacetti,Mathieu Ravignat,Matthew Dube,Matthew Kellway,Maurice Vellacott,Mauril Belanger,Maxime Bernier,Megan Leslie,Merv Tweed,Michael Chong,Michelle Rempel,Mike Allen,Mike Lake,Mike Sullivan,Mike Wallace,Murray Rankin,Mylene Freeman,Nathan Cullen,Niki Ashton,Nina Grewal,Nycole Turmel,Olivia Chow,Parm Gill,Pat Martin,Pat Perkins,Patricia Davidson,Patrick Brown,Paul Calandra,Paul Dewar,Paulina Ayala,Peggy Nash,Peter Braid,Peter Goldring,Peter Julian,Peter Kent,Peter Mackay,Peter Penashue,Peter Stoffer,Peter Van Loan,Phil Mccoleman,Philip Toone,Pierre Dionne Labelle,Pierre Jacob,Pierre Lemieux,Pierre Luc Dusseault,Pierre Nantel,Pierre Poilievre,Ralph Goodale,Randall Garrison,Randy Hoback,Randy Kamp,Rathika Sitsabaiesan,Ray Boughen,Raymond Cote,Rejean Genest,Rick Dykstra,Rick Norlock,Rob Anders,Rob Clarke,Rob Merrifield,Rob Moore,Rob Nicholson,Robert Aubin,Robert Chisholm,Robert Goguen,Robert Sopuck,Rod Bruinooge,Rodger Cuzner,Rodney Weston,Romeo Saganash,Ron Cannan,Rona Ambrose,Rosane Dore Lefebvre,Roxanne James,Royal Galipeau,Russ Hiebert,Ruth Ellen Brosseau,Ryan Cleary,Ryan Leef,Sadia Groguhe,Sana Hassainia,Scott Andrews,Scott Armstrong,Scott Brison,Scott Reid,Scott Simms,Sean Casey,Shelly Glover,Stella Ambler,Stephane Dion,Stephen Harper,Stephen Woodworth,Steven Blaney,Steven Fletcher,Susan Truppe,Sylvain Chicoine,Tarik Brahmi,Ted Falk,Ted Hsu,Ted Menzies,Ted Opitz,Terence Young,Thomas Mulcair,Tilly Oneill Gordon,Tim Uppal,Tom Lukiwski,Tony Clement,Tyrone Benskin,Vic Toews,Wai Young,Wayne Easter,Wayne Marston,Wladyslaw Lizon,Yvon Godin,Yvonne Jones
C-592,,An Act to amend the Criminal Code (cruelty to animals),Isabelle Morin,Second reading (House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-593,Canadian Forces and Royal Canadian Mounted Police Former Members Personal Information Act,"An Act to amend the Department of Veterans Affairs Act, the National Defence Act, the Royal Canadian Mounted Police Act and the Access to Information Act (personal information and medical records)",Laurie Hawn,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-594,National Metastatic Breast Cancer Day Act,An Act respecting a National Metastatic Breast Cancer Day,Hedy Fry,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-595,,An Act to amend the Navigable Waters Protection Act (Somass River),Fin Donnelly,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-596,,An Act to amend the Navigable Waters Protection Act (Fish Lake and other waterways),Fin Donnelly,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-597,,An Act to amend the Holidays Act (Remembrance Day),Dan Harris,In committee (House),Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Didn't vote,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Didn't vote,,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,,Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes
C-598,,An Act to amend the Immigration and Refugee Protection Act and the Corrections and Conditional Release Act (notification of victims),Malcolm Allen,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-599,,An Act to amend the Navigable Waters Protection Act (Gaspésie and Îles-de-la-Madeleine region),Philip Toone,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-6,Prohibiting Cluster Munitions Act,An Act to implement the Convention on Cluster Munitions,John Baird,Law (royal assent given),,No,No,No,No,Yes,Didn't vote,No,Didn't vote,Didn't vote,No,No,No,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Didn't vote,,Didn't vote,Didn't vote,Didn't vote,Yes,Yes,Yes,No,No,Yes,No,Didn't vote,Yes,Yes,Didn't vote,Yes,Yes,No,No,Yes,No,Didn't vote,Yes,Didn't vote,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,Yes,Didn't vote,Didn't vote,No,,Didn't vote,,No,Yes,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Yes,No,No,No,Yes,Didn't vote,Didn't vote,No,No,No,Didn't vote,Didn't vote,No,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,No,Didn't vote,Yes,Yes,Didn't vote,No,Yes,Yes,Didn't vote,No,No,No,No,Didn't vote,No,No,Yes,Yes,Yes,Didn't vote,Yes,No,No,Yes,Yes,No,Didn't vote,No,Didn't vote,Yes,,,Didn't vote,,Didn't vote,Yes,No,Yes,Didn't vote,Yes,Didn't vote,,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Didn't vote,Didn't vote,Yes,No,Yes,Yes,Yes,No,Yes,Didn't vote,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,No,No,Yes,No,Yes,Didn't vote,Yes,No,No,Didn't vote,No,Didn't vote,Didn't vote,No,No,Yes,No,Didn't vote,Yes,No,No,No,Didn't vote,Didn't vote,No,Yes,No,,Yes,Yes,Yes,Yes,No,Yes,No,Didn't vote,No,Didn't vote,Yes,No,,Yes,No,,Yes,Yes,Yes,No,Didn't vote,No,Yes,Yes,No,Didn't vote,Yes,,Didn't vote,Yes,Yes,Didn't vote,No,Didn't vote,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,No,Didn't vote,Yes,Yes,Didn't vote,Didn't vote,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Didn't vote,Didn't vote,Yes,No,Yes,Didn't vote,No,Yes,Yes,No,Didn't vote,Yes,Yes,Yes,Didn't vote,No,No,Yes,No,,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,Didn't vote,No,,Yes,Didn't vote,No,Yes,No,Didn't vote
C-600,,An Act to amend the Criminal Records Act (homosexual activities),Philip Toone,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-601,Government Awareness Day Act,An Act respecting a Government Awareness Day,Don Davies,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-602,,An Act to amend the Food and Drugs Act (sugar content labelling),Don Davies,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-603,,An Act to amend the Motor Vehicle Safety Act (vehicle side guards),Hoang Mai,Defeated,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,No,Didn't vote,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,No,,No,No,Yes,No,,Yes,No,Yes,No,No,No,Yes,Didn't vote,No,Yes,Yes,No,No,Didn't vote,No,No,Yes,Yes,No,Didn't vote,Didn't vote,No,No,No,No,Yes,No,Yes,Didn't vote,No,No,No,No,Yes,Yes,No,No,No,No,No,,No,Yes,,Didn't vote,,Yes,No,No,No,No,Yes,Yes,Didn't vote,No,No,No,No,Yes,Didn't vote,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Didn't vote,Yes,Yes,Yes,No,No,,No,,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,,No,Didn't vote,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,No,Didn't vote,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Didn't vote,Yes,No,Yes,No,Yes,,No,No,Didn't vote,No,Yes,No,Yes,Yes,Yes,Didn't vote,No,Yes,,No,Didn't vote,No,No,No,No,Didn't vote,Yes,Yes,No,No,Yes,No,Didn't vote,,Yes,No,No,Didn't vote,Yes,Didn't vote,No,Yes,Didn't vote,No,Yes,Yes,No,No,Didn't vote,No,Yes,Yes,No,No,No,No,,No,Didn't vote,Yes,Yes,No,No,No,Yes,No,Didn't vote,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Didn't vote,Yes,No,Yes,Didn't vote,Yes,Yes,No,No,Yes,Didn't vote,Didn't vote,No,No,No,Yes,Yes,No,Yes,,No,No,Didn't vote,No,No,No,No,Yes,,No,Yes,Yes,No,Yes,Yes
C-604,Health Commissioner of Canada Act,An Act to establish the position of Health Commissioner of Canada and to amend certain Acts,Francois Lapointe,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-605,,An Act to amend the Employment Insurance Act (protecting the Employment Insurance Operating Account),Robert Chisholm,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-606,,An Act to amend the Interest Act (prepayment charge),Laurin Liu,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-607,,An Act to amend the Assisted Human Reproduction Act (surrogacy),Dean Del Mastro,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-608,National Day of the Midwife Act,An Act respecting a National Day of the Midwife,Rosane Dore Lefebvre,In committee (House),Yes,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Didn't vote,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,,Yes,Yes,,Yes,,Didn't vote,Yes,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Didn't vote,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Didn't vote,Yes,Didn't vote,Yes,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Didn't vote,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,Didn't vote,Yes,Yes,Yes,Yes,Yes,Yes,,Didn't vote,Yes,Didn't vote,Yes,Yes,Yes,Didn't vote,Yes,,Yes,Yes,Yes,Yes,Yes,Yes
C-609,,An Act to amend the Criminal Code (critical infrastructure),Randall Garrison,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
